id,title,status,loc.0,date,time,mins,desc,tags.0,tags.1,tags.2,people.0.id,people.0.name,people.1.id,people.1.name,people.2.id,people.2.name,people.3.id,people.3.name,people.4.id,people.4.name,140
58,Science and Society,,United Federation for Science (GB-6),2017-11-25,14:00,60,"March for Science Indianapolis will present a TED style talk on the intersection of science and society and the critical role that science literacy, via science communication, plays in our lives.",Presentation,STEM,Humanities,46,Rufus Cochran,,,,,,,,,
118,Robert O'Reilly Photo Op,,Promenade,2017-11-25,15:00,30,Get your picture taken with Robert O'Reilly. Additional fee required.,Photo Op,Media Guests,Klingon,44,Robert O'Reilly,,,,,,,,,
59,Sherlock Holmes and the Beginning of Modern Forensic Science,,Astrophysics (FS-D),2017-11-25,15:00,60,"Arthur Conan Doyle's character, Sherlock Holmes, was the first fictional detective to explicitly base his solutions of cases on observation, science, and deductive reasoning. Many of the stories include accounts of Holmes' detailed examinations of crime scenes and pieces of evidence. David Zauner, a member of the Indianapolis Sherlock Holmes society, The Illustrious Clients, and a retired forensic scientist, will explore how the Holmes stories reflect applications of scientific principles to criminal investigations in the late nineteenth and early twentieth centuries and how forensic science has developed since that time to its present state.",Presentation,STEM,,14,David Zauner,,,,,,,,,
60,Space Movies and Space Math,,Guinan's Place (Brickyard),2017-11-25,15:00,60,"Several recent space movies are great examples of how mathematics and physics are integral to space travel. We'll look at short clips from movies like Interstellar, The Martian, and Hidden Figures, and talk informally about some of the math behind the scenes. If math normally isn't your cup of Tea, Earl Grey, Hot...don't worry! This won't be a boring math lecture!",Presentation,STEM,,11,Colin McKinney,,,,,,,,,
61,Super Hero Capes,,Holocenter (FS-C),2017-11-25,15:00,60,Are you a Super Hero? Villain? In this no-sew craft project you can make a cape that shows the world what your super powers are!,Crafting,,,4,Beth Ann Broadhurst,,,,,,,,,
63,What Do You Think of The Orville?,,Briefing Room (DR-2),2017-11-25,15:00,60,"""Geeking in Indiana"" host Tony Troxell and Carl Doninger lead a discussion on Seth MacFarlane's new series, ""The Orville.""",Discussion,,,53,Tony Troxell,64,Carl Doninger,,,,,,,
64,Five Year Mission: Year Four Storytellers Unplugged,,Main Bridge (GB1-5),2017-11-25,15:00,60,"Preeminent Star Trek band Five Year Mission takes you behind the scenes to discuss the making of their upcoming new album, Year Four. Conducted in a story teller’s format, the band’s songwriters will discuss the process of creating songs based on episodes of The Original Series, beginning with what inspired them about the episode in question, the creative process, and finally an acoustic performance of the completed song. Sometimes the journey is even more fascinating than the destination!",Concert,Entertainment,,57,Five Year Mission,,,,,,,,,
65,Translating Popular Music Into Klingon,,tlhIngan rlvSo' (Intl Boardroom),2017-11-25,15:00,60,The Klingon Pop Warrior leads a discussion with translators on her project on the translation process - performing some songs & diving into translation techniques.,Discussion,Klingon,,23,Jen Usellis,,,,,,,,,
66,The Future is Now,,United Federation for Science (GB-6),2017-11-25,15:00,60,March for Science Indianapolis will present a TED style talk on the cutting edge of science and technology and their impact on society. The talk will be built around the quote “the future is already here it is just not evenly distributed” by William Gibson.,Presentation,STEM,,46,Rufus Cochran,,,,,,,,,
119,Robert O'Reilly Signature,,Promenade,2017-11-25,15:30,60,Get Robert O'Reilly's autograph. Additional fee required.,Signatures,Media Guests,Klingon,44,Robert O'Reilly,,,,,,,,,
